Player,Tm,Pos,G,PassingCmp,PassingAtt,PassingYds,PassingTD,PassingInt,RushingAtt,RushingYds,RushingY/A,RushingTD,ReceivingTgt,ReceivingRec,ReceivingYds,ReceivingY/R,ReceivingTD,FumblesFmb,FumblesFL,Scoring2PM,Scoring2PP,Name
Penny Hart,SEA,WR,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,59.0,8.43,0.0,0.0,0.0,0.0,0.0,P.Hart
Dax Milne,WAS,WR,13,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,14.0,9.0,83.0,9.22,0.0,1.0,1.0,0.0,0.0,D.Milne
Jason Moore,LAC,WR,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,56.0,18.67,0.0,0.0,0.0,0.0,0.0,J.Moore
Amari Rodgers,GNB,WR,16,0.0,0.0,0.0,0.0,0.0,1.0,11.0,11.0,0.0,8.0,4.0,45.0,11.25,0.0,2.0,0.0,0.0,0.0,A.Rodgers
Ito Smith,DAL,RB,1,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I.Smith
Trayveon Williams,CIN,RB,5,0.0,0.0,0.0,0.0,0.0,15.0,51.0,3.4,0.0,2.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,T.Williams
Jaelon Darden,TAM,WR,9,0.0,0.0,0.0,0.0,0.0,1.0,11.0,11.0,0.0,12.0,6.0,43.0,7.17,0.0,0.0,0.0,0.0,0.0,J.Darden
Will Fuller,MIA,WR,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,26.0,6.5,0.0,0.0,0.0,1.0,0.0,W.Fuller
Jason Huntley,PHI,RB,1,0.0,0.0,0.0,0.0,0.0,13.0,51.0,3.92,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J.Huntley
Tre' McKitty,LAC,TE,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,45.0,7.5,0.0,0.0,0.0,0.0,0.0,T.McKitty
Wendell Smallwood,WAS,RB,3,0.0,0.0,0.0,0.0,0.0,5.0,25.0,5.0,0.0,5.0,4.0,22.0,5.5,0.0,0.0,0.0,0.0,0.0,W.Smallwood
Rodney Smith,CAR,RB,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,48.0,9.6,0.0,0.0,0.0,0.0,0.0,R.Smith
Mike Thomas,CIN,WR,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,52.0,10.4,0.0,0.0,0.0,0.0,0.0,M.Thomas
Charlie Woerner,SFO,TE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,52.0,10.4,0.0,0.0,0.0,0.0,0.0,C.Woerner
JJ Arcega-Whiteside,PHI,WR,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,36.0,18.0,0.0,0.0,0.0,0.0,0.0,J.Arcega-Whiteside
Kalen Ballage,PIT,RB,17,0.0,0.0,0.0,0.0,0.0,12.0,36.0,3.0,0.0,7.0,2.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,K.Ballage
Kendall Blanton,LAR,TE,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,37.0,9.25,0.0,1.0,0.0,0.0,0.0,K.Blanton
Pharoh Cooper,NYG,WR,8,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,11.0,4.0,33.0,8.25,0.0,0.0,0.0,0.0,0.0,P.Cooper
Tyler Davis,GNB,TE,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,35.0,8.75,0.0,0.0,0.0,0.0,0.0,T.Davis
Greg Dortch,ARI,WR,5,0.0,0.0,0.0,0.0,0.0,1.0,24.0,24.0,0.0,3.0,3.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,G.Dortch
Darren Fells,2TM,TE,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,43.0,10.75,0.0,0.0,0.0,0.0,0.0,D.Fells
Garrett Griffin,NOR,TE,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,39.0,9.75,0.0,1.0,0.0,0.0,0.0,G.Griffin
Parker Hesse,ATL,TE,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,43.0,8.6,0.0,0.0,0.0,0.0,0.0,P.Hesse
Jakob Johnson,NWE,RB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,43.0,10.75,0.0,0.0,0.0,0.0,0.0,J.Johnson
D.J. Montgomery,NYJ,WR,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,36.0,12.0,0.0,0.0,0.0,0.0,0.0,D.Montgomery
Gunner Olszewski,NWE,WR,16,0.0,0.0,0.0,0.0,0.0,1.0,9.0,9.0,0.0,3.0,2.0,31.0,15.5,0.0,3.0,0.0,0.0,0.0,G.Olszewski
Curtis Samuel,WAS,WR,5,0.0,0.0,0.0,0.0,0.0,4.0,11.0,2.75,0.0,9.0,6.0,27.0,4.5,0.0,0.0,0.0,0.0,0.0,C.Samuel
Willie Snead,2TM,WR,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,38.0,9.5,0.0,0.0,0.0,0.0,0.0,W.Snead
Trent Taylor,CIN,WR,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,41.0,20.5,0.0,0.0,0.0,0.0,0.0,T.Taylor
Trevon Wesco,NYJ,TE,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,35.0,11.67,0.0,0.0,0.0,0.0,0.0,T.Wesco
Kevin White,NOR,WR,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,K.White
Juwann Winfree,GNB,WR,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,8.0,58.0,7.25,0.0,2.0,1.0,0.0,0.0,J.Winfree
Kenny Yeboah,NYJ,TE,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,36.0,18.0,0.0,0.0,0.0,0.0,0.0,K.Yeboah
Christian Blake,ATL,WR,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,25.0,6.25,0.0,0.0,0.0,0.0,0.0,C.Blake
Daniel Brown,NYJ,WR,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,29.0,14.5,0.0,0.0,0.0,0.0,0.0,D.Brown
Dominique Dafney,GNB,TE,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,34.0,17.0,0.0,0.0,0.0,0.0,0.0,D.Dafney
Reggie Gilliam,BUF,RB,16,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,5.0,3.0,23.0,7.67,0.0,0.0,0.0,0.0,0.0,R.Gilliam
Chad Henne,KAN,QB,4,11.0,16.0,82.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,C.Henne
K.J. Hill,LAC,WR,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,K.Hill
Kylin Hill,GNB,RB,8,0.0,0.0,0.0,0.0,0.0,10.0,24.0,2.4,0.0,2.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,K.Hill
Cody Hollister,TEN,WR,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,33.0,8.25,0.0,0.0,0.0,0.0,0.0,C.Hollister
